date,exchange_rate
2017-01,0.0092
2017-02,0.0093
2017-03,0.0092
2017-04,0.0092
2017-05,0.0091
2017-06,0.0093
2017-07,0.0094
2017-08,0.0096
2017-09,0.0096
2017-10,0.0095
2017-11,0.0094
2017-12,0.0094
2018-01,0.0095
2018-02,0.0095
2018-03,0.0095
2018-04,0.0094
2018-05,0.0093
2018-06,0.0093
2018-07,0.0092
2018-08,0.0092
2018-09,0.0092
2018-10,0.009
2018-11,0.009
2018-12,0.009
2019-01,0.009
2019-02,0.009
2019-03,0.009
2019-04,0.009
2019-05,0.009
2019-06,0.0089
2019-07,0.0087
2019-08,0.0086
2019-09,0.0086
2019-10,0.0086
2019-11,0.0086
2019-12,0.0086
2020-01,0.0087
2020-02,0.0085
2020-03,0.0083
2020-04,0.0082
2020-05,0.0083
2020-06,0.0085
2020-07,0.0087
2020-08,0.0088
2020-09,0.0089
2020-10,0.0088
2020-11,0.0089
2020-12,0.0091
2021-01,0.0092
2021-02,0.0092
2021-03,0.0092
2021-04,0.0091
2021-05,0.0092
2021-06,0.0092
2021-07,0.0091
2021-08,0.009
2021-09,0.009
2021-10,0.0089
2021-11,0.009
2021-12,0.0088
2022-01,0.0088
2022-02,0.0088
2022-03,0.0088
2022-04,0.0089
2022-05,0.0087
2022-06,0.0087
2022-07,0.0085
2022-08,0.0085
2022-09,0.0085
2022-10,0.0081
2022-11,0.0082
2022-12,0.0085
2023-01,0.0085
2023-02,0.0085
2023-03,0.0085
2023-04,0.0084
2023-05,0.0084
